% x,y,c (mol/m^3) @ t=0,c (mol/m^3) @ t=100,c (mol/m^3) @ t=200,c (mol/m^3) @ t=300,c (mol/m^3) @ t=400,c (mol/m^3) @ t=500,c (mol/m^3) @ t=600,c (mol/m^3) @ t=700,c (mol/m^3) @ t=800,c (mol/m^3) @ t=900,c (mol/m^3) @ t=1000,c (mol/m^3) @ t=1100,c (mol/m^3) @ t=1200,c (mol/m^3) @ t=1300,c (mol/m^3) @ t=1400,c (mol/m^3) @ t=1500,c (mol/m^3) @ t=1600,c (mol/m^3) @ t=1700,c (mol/m^3) @ t=1800,c (mol/m^3) @ t=1900,c (mol/m^3) @ t=2000,c (mol/m^3) @ t=2100,c (mol/m^3) @ t=2200,c (mol/m^3) @ t=2300,c (mol/m^3) @ t=2400,c (mol/m^3) @ t=2500,c (mol/m^3) @ t=2600,c (mol/m^3) @ t=2700,c (mol/m^3) @ t=2800,c (mol/m^3) @ t=2900,c (mol/m^3) @ t=3000
47.8936253,209.4679512,0.001415699,0.001464537,0.001516942,0.001573554,0.001634567,0.001701585,0.001774041,0.00185245,0.001940178,0.002035379,0.002139091,0.00225811,0.00238871,0.002532908,0.002703913,0.002894483,0.003109118,0.003377267,0.00368278,0.004038308,0.004526628,0.005102347,0.005822309,0.007058515,0.008606975,0.010517416,0.013429414,0.018638194,0.030238211,0.065936887,3.74E+09
240,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335521,0.011407673,0.014566161,0.020215843,0.032797754,0.071518177,3.74E+09
211.4257375,48.49664628,0.001528859,0.001581601,0.001638195,0.001699331,0.001765222,0.001837596,0.001915844,0.002000521,0.002095261,0.002198071,0.002310074,0.002438606,0.002579644,0.002735369,0.002920043,0.003125846,0.003357637,0.003647219,0.003977153,0.004361099,0.004888451,0.005510189,0.006287699,0.007622718,0.00929495,0.011358096,0.014502857,0.020127986,0.032655216,0.071207363,3.74E+09
0,299.9994,0.0012998,0.00134464,0.001392755,0.001444732,0.00150075,0.001562281,0.001628805,0.001700796,0.001781342,0.001868749,0.00196397,0.002073246,0.002193153,0.002325546,0.002482552,0.002657521,0.002854584,0.00310078,0.003381282,0.003707704,0.004156046,0.004684633,0.005345655,0.006480656,0.007902349,0.009656387,0.012329989,0.017112342,0.027762702,0.06053884,3.74E+09
48.03430553,269.5793765,0.001342183,0.001388485,0.001438168,0.00149184,0.001549685,0.001613222,0.001681915,0.001756253,0.001839425,0.001929683,0.002028009,0.002140847,0.002264665,0.002401375,0.0025635,0.002744174,0.002947663,0.003201886,0.003491535,0.0038286,0.004291562,0.004837384,0.005519959,0.006691969,0.008160018,0.00997125,0.01273203,0.01767032,0.028667952,0.062512812,3.74E+09
300,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
270.5677618,48.67690797,0.00152881,0.00158155,0.001638142,0.001699276,0.001765165,0.001837536,0.001915782,0.002000456,0.002095193,0.002198,0.002309999,0.002438527,0.002579561,0.00273528,0.002919948,0.003125744,0.003357528,0.003647101,0.003977024,0.004360958,0.004888292,0.00551001,0.006287495,0.00762247,0.009294648,0.011357727,0.014502386,0.020127333,0.032654157,0.071205053,3.74E+09
0,359.99928,0.001207893,0.001249562,0.001294275,0.001342576,0.001394634,0.001451814,0.001513634,0.001580534,0.001655385,0.001736611,0.0018251,0.001926649,0.002038078,0.002161109,0.002307014,0.00246961,0.002652739,0.002881527,0.003142195,0.003445536,0.003862177,0.004353388,0.004967669,0.006022415,0.007343582,0.008973594,0.011458148,0.015902346,0.02579963,0.056258204,3.74E+09
48.1684934,329.6696083,0.0012556,0.001298915,0.001345394,0.001395603,0.001449717,0.001509155,0.001573417,0.001642959,0.001720766,0.001805201,0.001897184,0.002002744,0.002118574,0.002246465,0.002398132,0.00256715,0.002757512,0.002995336,0.0032663,0.003581622,0.004014718,0.00452533,0.005163873,0.006260278,0.007633625,0.009328016,0.011910701,0.016530428,0.026818616,0.058480185,3.74E+09
360,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
